run_id,d,density,n_samples,epsilon,delta,k,ds,dp,bic_score,is_true_at_k,found_true_by_k,graph_seed,noise_seed,frontier_size,status,error_message
0,5,0.4,20,1,1,1,3,0,-25.48415357717574,0,0,3653403230,2735729614,1,ok,
0,5,0.4,20,1,1,2,2,1,-23.48017231987351,0,0,3653403230,2735729614,2,ok,
0,5,0.4,20,1,1,3,1,1,-17.895625517895134,0,0,3653403230,2735729614,3,ok,
0,5,0.4,20,1,1,4,2,0,-15.967655177034302,0,0,3653403230,2735729614,4,ok,
0,5,0.4,20,1,1,5,1,0,-15.398279293434612,0,0,3653403230,2735729614,5,ok,
0,5,0.4,20,1,1,6,2,0,-14.038962830854992,0,0,3653403230,2735729614,6,ok,
0,5,0.4,20,1,1,7,3,0,-14.723207379629503,0,0,3653403230,2735729614,7,ok,
0,5,0.4,20,1,1,8,3,0,-15.292414288720884,0,0,3653403230,2735729614,8,ok,
0,5,0.4,20,1,1,9,2,0,-14.038962830854992,0,0,3653403230,2735729614,9,ok,
0,5,0.4,20,1,1,10,3,0,-14.757399796825997,0,0,3653403230,2735729614,10,ok,
0,5,0.4,20,1,2,1,3,0,-25.48415357717574,0,0,3653403230,2735729614,1,ok,
0,5,0.4,20,1,2,2,2,1,-23.48017231987351,0,0,3653403230,2735729614,2,ok,
0,5,0.4,20,1,2,3,1,1,-17.895625517895134,0,0,3653403230,2735729614,3,ok,
0,5,0.4,20,1,2,4,2,0,-15.967655177034302,0,0,3653403230,2735729614,4,ok,
0,5,0.4,20,1,2,5,1,0,-15.39827929343461,0,0,3653403230,2735729614,5,ok,
0,5,0.4,20,1,2,6,2,1,-14.038962830854992,0,0,3653403230,2735729614,6,ok,
0,5,0.4,20,1,2,7,2,0,-14.038962830854992,0,0,3653403230,2735729614,7,ok,
0,5,0.4,20,1,2,8,2,0,-14.038962830854992,0,0,3653403230,2735729614,8,ok,
0,5,0.4,20,1,2,9,3,0,-14.723207379629503,0,0,3653403230,2735729614,9,ok,
0,5,0.4,20,1,2,10,3,1,-14.757399796825997,0,0,3653403230,2735729614,10,ok,
0,5,0.4,20,2,1,1,3,0,-25.48415357717574,0,0,3653403230,2735729614,1,ok,
0,5,0.4,20,2,1,2,1,1,-17.895625517895134,0,0,3653403230,2735729614,2,ok,
0,5,0.4,20,2,1,3,1,0,-15.398279293434612,0,0,3653403230,2735729614,3,ok,
0,5,0.4,20,2,1,4,2,0,-14.038962830854992,0,0,3653403230,2735729614,4,ok,
0,5,0.4,20,2,1,5,3,0,-14.723207379629503,0,0,3653403230,2735729614,5,ok,
0,5,0.4,20,2,1,6,2,1,-15.110826171069217,0,0,3653403230,2735729614,6,ok,
0,5,0.4,20,2,1,7,3,0,-15.292414288720884,0,0,3653403230,2735729614,7,ok,
0,5,0.4,20,2,1,8,2,0,-14.038962830854992,0,0,3653403230,2735729614,8,ok,
0,5,0.4,20,2,1,9,3,0,-14.757399796825997,0,0,3653403230,2735729614,9,ok,
0,5,0.4,20,2,1,10,2,0,-15.110826171069217,0,0,3653403230,2735729614,10,ok,
0,5,0.4,20,2,2,1,3,0,-25.48415357717574,0,0,3653403230,2735729614,1,ok,
0,5,0.4,20,2,2,2,1,1,-17.895625517895134,0,0,3653403230,2735729614,2,ok,
0,5,0.4,20,2,2,3,1,0,-15.398279293434612,0,0,3653403230,2735729614,3,ok,
0,5,0.4,20,2,2,4,2,0,-14.038962830854992,0,0,3653403230,2735729614,4,ok,
0,5,0.4,20,2,2,5,2,1,-14.038962830854992,0,0,3653403230,2735729614,5,ok,
0,5,0.4,20,2,2,6,2,0,-14.038962830854992,0,0,3653403230,2735729614,6,ok,
0,5,0.4,20,2,2,7,3,0,-14.723207379629503,0,0,3653403230,2735729614,7,ok,
0,5,0.4,20,2,2,8,3,1,-14.757399796825997,0,0,3653403230,2735729614,8,ok,
0,5,0.4,20,2,2,9,3,0,-14.757399796825997,0,0,3653403230,2735729614,9,ok,
0,5,0.4,20,2,2,10,5,2,-15.0332559090044,0,0,3653403230,2735729614,10,ok,
1,5,0.4,20,1,1,1,1,0,-15.485116979243736,0,0,2195314464,1158725111,1,ok,
1,5,0.4,20,1,1,2,0,1,-13.147374921702127,0,0,2195314464,1158725111,2,ok,
1,5,0.4,20,1,1,3,0,2,-13.147374921702124,0,0,2195314464,1158725111,3,ok,
1,5,0.4,20,1,1,4,0,1,-13.554585583091978,0,0,2195314464,1158725111,4,ok,
1,5,0.4,20,1,1,5,0,0,-13.55458558309198,1,1,2195314464,1158725111,5,ok,
1,5,0.4,20,1,1,6,1,2,-13.708605055640938,0,1,2195314464,1158725111,6,ok,
1,5,0.4,20,1,1,7,1,1,-13.70860505564094,0,1,2195314464,1158725111,7,ok,
1,5,0.4,20,1,1,8,1,2,-14.098541450679672,0,1,2195314464,1158725111,8,ok,
1,5,0.4,20,1,1,9,1,1,-14.098541450679672,0,1,2195314464,1158725111,9,ok,
1,5,0.4,20,1,1,10,1,1,-14.098541450679676,0,1,2195314464,1158725111,10,ok,
1,5,0.4,20,1,2,1,1,0,-15.485116979243736,0,0,2195314464,1158725111,1,ok,
